Nome,Icona,Descrizione
Parla con accento straniero,🗣️,Parla con accento straniero mentre spadelli
Tieni una mano sulla testa,🤚,Tieni una mano sulla testa mentre spadelli
Fai il verso di un animale,🐒,Fai il verso di un animale mentre spadelli
Salta su un piede,🦶,Salta su un piede mentre spadelli
Parla come un robot,🤖,Parla come un robot mentre spadelli
Imita un personaggio famoso,🎭,Imita un personaggio famoso mentre spadelli
Ridi ad alta voce,😂,Ridi ad alta voce mentre spadelli
Fischia una melodia,🎶,Fischia una melodia mentre spadelli
Mima un'azione,🤹,Mima un'azione mentre spadelli
Parla in rima,📜,Parla in rima mentre spadelli
Fai una faccia buffa,😜,Fai una faccia buffa mentre spadelli
Imita il suono di uno strumento musicale,🎸,Imita il suono di uno strumento musicale mentre spadelli
Fai una posa da supereroe,🦸‍♂️,Fai una posa da supereroe mentre spadelli
Parla con voce alta e bassa alternata,🤫,Parla con voce alta e bassa alternata mentre spadelli
Imita il suono di un clacson,📯,Imita il suono di un clacson mentre spadelli
Piangi,😭,Piangi disperatamente
Fai il rumore di una sirena,🚨,Fai il rumore di una sirena mentre spadelli
Brividi,🥶,Trema dal freddo
Imita il suono di un treno,🚂,Imita il suono di un treno mentre spadelli
Conati,🤢,trattieniti dal vomitare
Sbircia,🫣,mano davanti agli occhi
Parla come se fossi sott’acqua,🌊,Parla come se fossi sott’acqua mentre spadelli
Imita il suono di una campana,🔔,Imita il suono di una campana mentre spadelli
Fai il rumore del vento,🌬️,Fai il rumore del vento mentre spadelli
Risata Fantasmatica,👻,Fai una risata fantasmatica mentre spadelli
Danza delle Stelle,🕺,Fai una danza delle stelle mentre spadelli
Incantesimo del Corvo,🐦‍⬛,Imita un corvo mentre spadelli
Canto dell’Elfo,🧝,Canta come un elfo mentre spadelli
Danza della Terra,🌍,Fai una danza della terra mentre spadelli
Incantesimo dell’Aquila,🦅,Imita un’aquila mentre spadelli
Salto del Leone,🦁,Salta come un leone mentre spadelli
Saluto del Salmone,🐟,Fai un saluto con la mano come un salmone
Batti il Cinque,✋,Batti il cinque con un altro giocatore
Cambio Posto,🔄,Cambia posto con un altro giocatore
Danza della Pioggia,🌧️,Fai una danza della pioggia
Incantesimo del Gatto,🐱,Imita un gatto mentre spadelli
Risata Malefica,😈,Fai una risata malefica mentre spadelli
Salto del Canguro,🦘,Salta come un canguro mentre spadelli
Urlo del Guerriero,⚔️,Fai un urlo da guerriero mentre spadelli
Danza della Vittoria,🏆,Fai una danza della vittoria mentre spadelli
Incantesimo del Drago,🐉,Imita un drago mentre spadelli
Corsa sul Posto,🏃‍♂️,Corri sul posto mentre spadelli
Salto della Rana,🐸,Salta come una rana mentre spadelli
Incantesimo del Pipistrello,🦇,Imita un pipistrello mentre spadelli
Danza del Fuoco,🔥,Fai una danza del fuoco mentre spadelli
Incantesimo del Lupo,🐺,Ulula come un lupo mentre spadelli
Salto del Delfino,🐬,Salta come un delfino mentre spadelli
Risata diabolica,😈,Fai una risata diabolica mentre spadelli
Danza della Luna,🌕,Fai una danza della luna mentre spadelli
Incantesimo del Gufo,🦉,Imita un gufo mentre spadelli
Canto della Sirena,🧜‍♀️,Canta come una sirena mentre spadelli
Danza del Sole,☀️,Fai una danza del sole mentre spadelli
Incantesimo del Serpente,🐍,Imita un serpente mentre spadelli
Salto della Scimmia,🐒,Salta come una scimmia mentre spadelli
Taglia le Verdure,🔪,Imita il taglio delle verdure mentre spadelli
Mescola la Zuppa,🥣,Imita il mescolare della zuppa mentre spadelli
Assaggia il Sugo,🍝,Imita l'assaggio del sugo mentre spadelli
Impasta la Pizza,🍕,Imita l'impastare della pizza mentre spadelli
Sbatti le Uova,🥚,Imita lo sbattere delle uova mentre spadelli
Grattugia il Formaggio,🧀,Imita il grattugiare del formaggio mentre spadelli
Sbuccia le Patate,🥔,Imita lo sbucciare delle patate mentre spadelli
Frulla il Frullato,🍹,Imita il frullare del frullato mentre spadelli
Stendi la Pasta,🍝,Imita lo stendere della pasta mentre spadelli
Inforna la Torta,🎂,Imita l'infornare della torta mentre spadelli
Spremi gli Agrumi,🍊,Imita lo spremere degli agrumi mentre spadelli
Trita le Erbe,🌿,Imita il tritare delle erbe mentre spadelli
Versa il Vino,🍷,Imita il versare del vino mentre spadelli
Salta in Padella,🍳,Imita il saltare in padella mentre spadelli
Affetta il Pane,🍞,Imita l'affettare del pane mentre spadelli
Spalma il Burro,🧈,Imita lo spalmare del burro mentre spadelli
Decora i Biscotti,🍪,Imita il decorare dei biscotti mentre spadelli
Arrostisci la Carne,🍖,Imita l'arrostire della carne mentre spadelli
Cuoci la Pasta,🍝,Imita il cuocere della pasta mentre spadelli
Servi il Gelato,🍦,Imita il servire del gelato mentre spadelli
Posizione Yoga,🧘,Assumi una posizione Yoga mentre spadelli
Cambia Posto,🔄,Prendi il posto di un altro giocatore
